k,weight,accuracy,fscore,precision,recall
0,0.2754887218045113,0.8395196506550219,0.7933518945872087,0.8258322351289064,0.8395196506550219
1,0.2754887218045113,0.7248908296943232,0.6343533137909487,0.7678167407492384,0.7248908296943232
2,0.26015037593984963,0.8265895953757225,0.775586101354279,0.8042161627242426,0.8265895953757225
3,0.10736842105263159,0.8403361344537815,0.8000142513991632,0.7693144415833492,0.8403361344537815
4,0.04240601503759398,0.7872340425531915,0.7563382244233308,0.7417992545061103,0.7872340425531915
5,0.02075187969924812,0.8695652173913043,0.8414814814814815,0.8257437070938216,0.8695652173913043
6,0.009924812030075189,0.8484848484848485,0.7976467976467976,0.7668732782369145,0.8484848484848485
7,0.003909774436090226,0.6153846153846154,0.6068376068376068,0.6115384615384616,0.6153846153846154
8,0.002105263157894737,0.7142857142857143,0.6666666666666666,0.6428571428571429,0.7142857142857143
9,0.0012030075187969924,1.0,1.0,1.0,1.0
10,0.0009022556390977444,1.0,1.0,1.0,1.0
11,0.0003007518796992481,1.0,1.0,1.0,1.0
12,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0
Weighted Mean,,0.802406015037594,0.7446161948989943,0.7932034668158674,0.802406015037594
