case_id,prefix,k,next_act
Case 1,assign-seriousness,0,take-in-charge-ticket
Case 1,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket
Case 1,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,resolve-ticket
Case 1,assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket,3,closed
Case 2,assign-seriousness,0,take-in-charge-ticket
Case 2,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 3,assign-seriousness,0,take-in-charge-ticket
Case 3,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 3,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 4,assign-seriousness,0,take-in-charge-ticket
Case 4,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 4,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 5,assign-seriousness,0,take-in-charge-ticket
Case 5,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 5,assign-seriousness take-in-charge-ticket resolve-ticket,2,take-in-charge-ticket
Case 5,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,resolve-ticket
Case 5,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,4,closed
Case 6,assign-seriousness,0,take-in-charge-ticket
Case 6,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 6,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 7,assign-seriousness,0,assign-seriousness
Case 7,assign-seriousness assign-seriousness,1,assign-seriousness
Case 7,assign-seriousness assign-seriousness assign-seriousness,2,take-in-charge-ticket
Case 7,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket,3,resolve-ticket
Case 7,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,4,closed
Case 8,assign-seriousness,0,take-in-charge-ticket
Case 8,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 8,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 9,insert-ticket,0,assign-seriousness
Case 9,insert-ticket assign-seriousness,1,take-in-charge-ticket
Case 9,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 9,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 10,assign-seriousness,0,take-in-charge-ticket
Case 10,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 10,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 11,assign-seriousness,0,take-in-charge-ticket
Case 11,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 11,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 12,assign-seriousness,0,take-in-charge-ticket
Case 12,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 12,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 13,assign-seriousness,0,take-in-charge-ticket
Case 13,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 13,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 14,assign-seriousness,0,take-in-charge-ticket
Case 14,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 14,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 15,assign-seriousness,0,assign-seriousness
Case 15,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 15,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 15,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 16,assign-seriousness,0,take-in-charge-ticket
Case 16,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket
Case 16,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,resolve-ticket
Case 16,assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket,3,closed
Case 17,assign-seriousness,0,take-in-charge-ticket
Case 17,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 17,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 18,assign-seriousness,0,take-in-charge-ticket
Case 18,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 18,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 18,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed
Case 19,assign-seriousness,0,take-in-charge-ticket
Case 19,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 19,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 20,assign-seriousness,0,take-in-charge-ticket
Case 20,assign-seriousness take-in-charge-ticket,1,wait
Case 20,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 20,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 21,assign-seriousness,0,take-in-charge-ticket
Case 21,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 21,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 22,assign-seriousness,0,take-in-charge-ticket
Case 22,assign-seriousness take-in-charge-ticket,1,wait
Case 22,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 22,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 23,assign-seriousness,0,take-in-charge-ticket
Case 23,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 23,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 24,assign-seriousness,0,take-in-charge-ticket
Case 24,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 24,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 25,assign-seriousness,0,take-in-charge-ticket
Case 25,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 25,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
