case_id,prefix,k,time_passed,recent_time,latest_time,next_time
Case 1151,resolve-ticket,0,0,0,0,15
Case 1151,resolve-ticket closed,1,15,0,15,1
Case 1152,assign-seriousness,0,0,0,0,1
Case 1152,assign-seriousness take-in-charge-ticket,1,1,0,1,0
Case 1152,assign-seriousness take-in-charge-ticket resolve-ticket,2,1,1,0,30
Case 1152,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,31,30,30,1
Case 1153,assign-seriousness,0,0,0,0,5
Case 1153,assign-seriousness take-in-charge-ticket,1,5,0,5,11
Case 1153,assign-seriousness take-in-charge-ticket wait,2,16,16,11,4
Case 1153,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,20,15,4,30
Case 1153,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,50,34,30,1
Case 1154,assign-seriousness,0,0,0,0,0
Case 1154,assign-seriousness wait,1,0,0,0,0
Case 1154,assign-seriousness wait take-in-charge-ticket,2,0,0,0,0
Case 1154,assign-seriousness wait take-in-charge-ticket resolve-ticket,3,0,0,0,0
Case 1154,assign-seriousness wait take-in-charge-ticket resolve-ticket resolve-ticket,4,0,0,0,30
Case 1154,assign-seriousness wait take-in-charge-ticket resolve-ticket resolve-ticket closed,5,30,30,30,1
Case 1155,assign-seriousness,0,0,0,0,6
Case 1155,assign-seriousness take-in-charge-ticket,1,6,0,6,0
Case 1155,assign-seriousness take-in-charge-ticket wait,2,6,6,0,7
Case 1155,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,13,7,7,0
Case 1155,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,13,7,0,45
Case 1155,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,58,45,45,1
Case 1156,assign-seriousness,0,0,0,0,15
Case 1156,assign-seriousness take-in-charge-ticket,1,15,0,15,0
Case 1156,assign-seriousness take-in-charge-ticket wait,2,15,15,0,29
Case 1156,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,44,29,29,15
Case 1156,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,59,44,15,1
Case 1157,assign-seriousness,0,0,0,0,12
Case 1157,assign-seriousness take-in-charge-ticket,1,12,0,12,1
Case 1157,assign-seriousness take-in-charge-ticket resolve-ticket,2,13,13,1,30
Case 1157,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,43,31,30,1
Case 1158,assign-seriousness,0,0,0,0,0
Case 1158,assign-seriousness assign-seriousness,1,0,0,0,0
Case 1158,assign-seriousness assign-seriousness take-in-charge-ticket,2,0,0,0,0
Case 1158,assign-seriousness assign-seriousness take-in-charge-ticket wait,3,0,0,0,28
Case 1158,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,4,28,28,28,0
Case 1158,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,5,28,28,0,15
Case 1158,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,6,43,15,15,1
Case 1159,assign-seriousness,0,0,0,0,7
Case 1159,assign-seriousness take-in-charge-ticket,1,7,0,7,0
Case 1159,assign-seriousness take-in-charge-ticket wait,2,7,7,0,8
Case 1159,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,15,8,8,15
Case 1159,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,30,23,15,1
Case 1160,assign-seriousness,0,0,0,0,0
Case 1160,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1160,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,43
Case 1160,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,43,43,43,1
Case 1161,assign-seriousness,0,0,0,0,1
Case 1161,assign-seriousness take-in-charge-ticket,1,1,0,1,0
Case 1161,assign-seriousness take-in-charge-ticket resolve-ticket,2,1,2,0,42
Case 1161,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,43,43,42,1
Case 1162,assign-seriousness,0,0,0,0,0
Case 1162,assign-seriousness take-in-charge-ticket,1,0,0,0,4
Case 1162,assign-seriousness take-in-charge-ticket resolve-ticket,2,4,4,4,41
Case 1162,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,45,45,41,1
Case 1163,assign-seriousness,0,0,0,0,0
Case 1163,assign-seriousness resolve-ticket,1,0,0,0,44
Case 1163,assign-seriousness resolve-ticket closed,2,44,44,44,1
Case 1164,assign-seriousness,0,0,0,0,24
Case 1164,assign-seriousness take-in-charge-ticket,1,24,0,24,1
Case 1164,assign-seriousness take-in-charge-ticket resolve-ticket,2,25,25,1,14
Case 1164,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,39,16,14,1
Case 1165,assign-seriousness,0,0,0,0,0
Case 1165,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1165,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,44
Case 1165,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,44,44,44,1
Case 1166,assign-seriousness,0,0,0,0,0
Case 1166,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1166,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,31
Case 1166,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,31,31,31,1
Case 1167,assign-seriousness,0,0,0,0,0
Case 1167,assign-seriousness take-in-charge-ticket,1,0,0,0,1
Case 1167,assign-seriousness take-in-charge-ticket wait,2,1,1,1,26
Case 1167,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,27,28,26,0
Case 1167,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,27,26,0,29
Case 1167,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,56,29,29,1
Case 1168,assign-seriousness,0,0,0,0,0
Case 1168,assign-seriousness wait,1,0,0,0,19
Case 1168,assign-seriousness wait take-in-charge-ticket,2,19,19,19,12
Case 1168,assign-seriousness wait take-in-charge-ticket resolve-ticket,3,31,31,12,0
Case 1168,assign-seriousness wait take-in-charge-ticket resolve-ticket resolve-ticket,4,31,12,0,15
Case 1168,assign-seriousness wait take-in-charge-ticket resolve-ticket resolve-ticket closed,5,46,15,15,1
Case 1169,assign-seriousness,0,0,0,0,0
Case 1169,assign-seriousness resolve-ticket,1,0,0,0,45
Case 1169,assign-seriousness resolve-ticket closed,2,45,46,45,1
Case 1170,assign-seriousness,0,0,0,0,0
Case 1170,assign-seriousness take-in-charge-ticket,1,0,0,0,1
Case 1170,assign-seriousness take-in-charge-ticket resolve-ticket,2,1,1,1,29
Case 1170,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,30,30,29,1
Case 1171,assign-seriousness,0,0,0,0,0
Case 1171,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1171,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,45
Case 1171,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,45,45,45,1
Case 1172,assign-seriousness,0,0,0,0,10
Case 1172,assign-seriousness take-in-charge-ticket,1,10,0,10,3
Case 1172,assign-seriousness take-in-charge-ticket wait,2,13,13,3,0
Case 1172,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,13,3,0,17
Case 1172,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,30,17,17,1
Case 1173,assign-seriousness,0,0,0,0,8
Case 1173,assign-seriousness take-in-charge-ticket,1,8,0,8,0
Case 1173,assign-seriousness take-in-charge-ticket wait,2,8,8,0,5
Case 1173,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,13,5,5,0
Case 1173,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket create-sw-anomaly,4,13,5,0,5
Case 1173,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket create-sw-anomaly resolve-ticket,5,18,5,5,2
Case 1173,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket create-sw-anomaly resolve-ticket take-in-charge-ticket,6,20,8,2,0
Case 1173,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket create-sw-anomaly resolve-ticket take-in-charge-ticket resolve-ticket,7,20,3,0,15
Case 1173,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket create-sw-anomaly resolve-ticket take-in-charge-ticket resolve-ticket closed,8,35,15,15,1
Case 1174,assign-seriousness,0,0,0,0,0
Case 1174,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1174,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,49
Case 1174,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,49,50,49,1
Case 1175,assign-seriousness,0,0,0,0,4
Case 1175,assign-seriousness take-in-charge-ticket,1,4,0,4,0
Case 1175,assign-seriousness take-in-charge-ticket resolve-ticket,2,4,4,0,0
Case 1175,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,4,0,0,0
