case_id,Resource,Prefix,Prefix Length,Next-Feature,Last-Feature
Case 4297,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,6,2
Case 4297,5,0 0 0 0 0 0 0 0 0 0 0 0 2 5,2,6,2
Case 4297,5,0 0 0 0 0 0 0 0 0 0 0 2 5 5,3,4,2
Case 4298,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,1,2
Case 4298,2,0 0 0 0 0 0 0 0 0 0 0 0 2 2,2,4,2
Case 4299,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,1,2
Case 4299,2,0 0 0 0 0 0 0 0 0 0 0 0 2 2,2,1,2
Case 4299,2,0 0 0 0 0 0 0 0 0 0 0 2 2 2,3,1,2
Case 4299,2,0 0 0 0 0 0 0 0 0 0 2 2 2 2,4,4,2
Case 43,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,6,2
Case 43,5,0 0 0 0 0 0 0 0 0 0 0 0 2 5,2,6,2
Case 43,5,0 0 0 0 0 0 0 0 0 0 0 2 5 5,3,4,2
Case 430,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,2,2
Case 430,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,2,2,2
Case 430,3,0 0 0 0 0 0 0 0 0 0 0 3 3 3,3,4,2
Case 4300,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,1,5,1
Case 4300,4,0 0 0 0 0 0 0 0 0 0 0 0 4 4,2,5,1
Case 4300,4,0 0 0 0 0 0 0 0 0 0 0 4 4 4,3,5,1
Case 4300,4,0 0 0 0 0 0 0 0 0 0 4 4 4 4,4,5,1
Case 4300,4,0 0 0 0 0 0 0 0 0 4 4 4 4 4,5,3,1
Case 4301,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,7,1
Case 4301,8,0 0 0 0 0 0 0 0 0 0 0 0 2 8,2,8,1
Case 4301,9,0 0 0 0 0 0 0 0 0 0 0 2 8 9,3,8,1
Case 4301,9,0 0 0 0 0 0 0 0 0 0 2 8 9 9,4,3,1
Case 4302,7,0 0 0 0 0 0 0 0 0 0 0 0 0 7,1,11,2
Case 4302,7,0 0 0 0 0 0 0 0 0 0 0 0 7 7,2,11,2
Case 4302,7,0 0 0 0 0 0 0 0 0 0 0 7 7 7,3,4,2
Case 4303,11,0 0 0 0 0 0 0 0 0 0 0 0 0 11,1,12,2
Case 4303,11,0 0 0 0 0 0 0 0 0 0 0 0 11 11,2,12,2
Case 4303,11,0 0 0 0 0 0 0 0 0 0 0 11 11 11,3,12,2
Case 4303,11,0 0 0 0 0 0 0 0 0 0 11 11 11 11,4,12,2
Case 4303,11,0 0 0 0 0 0 0 0 0 11 11 11 11 11,5,4,2
Case 4304,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,5,2
Case 4304,4,0 0 0 0 0 0 0 0 0 0 0 0 2 4,2,5,2
Case 4304,4,0 0 0 0 0 0 0 0 0 0 0 2 4 4,3,13,2
Case 4304,15,0 0 0 0 0 0 0 0 0 0 2 4 4 15,4,4,2
Case 4305,14,0 0 0 0 0 0 0 0 0 0 0 0 0 14,1,5,2
Case 4305,4,0 0 0 0 0 0 0 0 0 0 0 0 14 4,2,5,2
Case 4305,4,0 0 0 0 0 0 0 0 0 0 0 14 4 4,3,5,2
Case 4305,4,0 0 0 0 0 0 0 0 0 0 14 4 4 4,4,4,2
Case 4306,12,0 0 0 0 0 0 0 0 0 0 0 0 0 12,1,10,2
Case 4306,12,0 0 0 0 0 0 0 0 0 0 0 0 12 12,2,10,2
Case 4306,12,0 0 0 0 0 0 0 0 0 0 0 12 12 12,3,4,2
Case 4307,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,2,2
Case 4307,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,2,2,2
Case 4307,3,0 0 0 0 0 0 0 0 0 0 0 3 3 3,3,4,2
Case 4308,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,2,2
Case 4308,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,2,2,2
Case 4308,3,0 0 0 0 0 0 0 0 0 0 0 3 3 3,3,4,2
Case 4309,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,2,2
Case 4309,3,0 0 0 0 0 0 0 0 0 0 0 0 2 3,2,2,2
Case 4309,3,0 0 0 0 0 0 0 0 0 0 0 2 3 3,3,2,2
Case 4309,3,0 0 0 0 0 0 0 0 0 0 2 3 3 3,4,4,2
Case 431,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,2,2
Case 431,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,2,2,2
Case 431,3,0 0 0 0 0 0 0 0 0 0 0 3 3 3,3,4,2
Case 4310,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,2,2
Case 4310,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,2,2,2
Case 4310,3,0 0 0 0 0 0 0 0 0 0 0 3 3 3,3,4,2
Case 4311,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,2,2
Case 4311,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,2,2,2
Case 4311,3,0 0 0 0 0 0 0 0 0 0 0 3 3 3,3,4,2
Case 4312,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,2,2
Case 4312,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,2,2,2
Case 4312,3,0 0 0 0 0 0 0 0 0 0 0 3 3 3,3,4,2
Case 4313,14,0 0 0 0 0 0 0 0 0 0 0 0 0 14,1,15,2
Case 4313,14,0 0 0 0 0 0 0 0 0 0 0 0 14 14,2,15,2
Case 4313,14,0 0 0 0 0 0 0 0 0 0 0 14 14 14,3,4,2
Case 4314,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,5,2
Case 4314,4,0 0 0 0 0 0 0 0 0 0 0 0 2 4,2,5,2
Case 4314,4,0 0 0 0 0 0 0 0 0 0 0 2 4 4,3,5,2
Case 4314,4,0 0 0 0 0 0 0 0 0 0 2 4 4 4,4,4,2
Case 4315,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,10,2
Case 4315,12,0 0 0 0 0 0 0 0 0 0 0 0 2 12,2,8,2
Case 4315,9,0 0 0 0 0 0 0 0 0 0 0 2 12 9,3,4,2
Case 4316,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,2,2
Case 4316,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,2,2,2
Case 4316,3,0 0 0 0 0 0 0 0 0 0 0 3 3 3,3,4,2
Case 4317,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,1,2
Case 4317,2,0 0 0 0 0 0 0 0 0 0 0 0 2 2,2,1,2
Case 4317,2,0 0 0 0 0 0 0 0 0 0 0 2 2 2,3,4,2
Case 4318,7,0 0 0 0 0 0 0 0 0 0 0 0 0 7,1,11,2
Case 4318,7,0 0 0 0 0 0 0 0 0 0 0 0 7 7,2,2,2
Case 4318,3,0 0 0 0 0 0 0 0 0 0 0 7 7 3,3,4,2
Case 4319,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,7,2
Case 4319,8,0 0 0 0 0 0 0 0 0 0 0 0 2 8,2,7,2
Case 4319,8,0 0 0 0 0 0 0 0 0 0 0 2 8 8,3,4,2
Case 432,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,5,2
Case 432,4,0 0 0 0 0 0 0 0 0 0 0 0 2 4,2,5,2
Case 432,4,0 0 0 0 0 0 0 0 0 0 0 2 4 4,3,4,2
Case 4320,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,2,2
Case 4320,3,0 0 0 0 0 0 0 0 0 0 0 0 2 3,2,2,2
Case 4320,3,0 0 0 0 0 0 0 0 0 0 0 2 3 3,3,4,2
Case 4321,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,1,5,2
Case 4321,4,0 0 0 0 0 0 0 0 0 0 0 0 4 4,2,5,2
Case 4321,4,0 0 0 0 0 0 0 0 0 0 0 4 4 4,3,4,2
Case 4322,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,5,2
Case 4322,4,0 0 0 0 0 0 0 0 0 0 0 0 3 4,2,5,2
Case 4322,4,0 0 0 0 0 0 0 0 0 0 0 3 4 4,3,5,2
Case 4322,4,0 0 0 0 0 0 0 0 0 0 3 4 4 4,4,4,2
Case 4323,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,15,2
Case 4323,14,0 0 0 0 0 0 0 0 0 0 0 0 2 14,2,15,2
Case 4323,14,0 0 0 0 0 0 0 0 0 0 0 2 14 14,3,15,2
Case 4323,14,0 0 0 0 0 0 0 0 0 0 2 14 14 14,4,4,2
Case 4324,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,5,1
Case 4324,4,0 0 0 0 0 0 0 0 0 0 0 0 2 4,2,5,1
Case 4324,4,0 0 0 0 0 0 0 0 0 0 0 2 4 4,3,3,1
Case 4325,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,7,1
Case 4325,8,0 0 0 0 0 0 0 0 0 0 0 0 3 8,2,7,1
Case 4325,8,0 0 0 0 0 0 0 0 0 0 0 3 8 8,3,3,1
Case 4326,14,0 0 0 0 0 0 0 0 0 0 0 0 0 14,1,3,1
Case 4326,13,0 0 0 0 0 0 0 0 0 0 0 0 14 13,2,2,1
Case 4326,3,0 0 0 0 0 0 0 0 0 0 0 14 13 3,3,2,1
Case 4326,3,0 0 0 0 0 0 0 0 0 0 14 13 3 3,4,3,1
Case 4327,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,2,2
Case 4327,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,2,2,2
Case 4327,3,0 0 0 0 0 0 0 0 0 0 0 3 3 3,3,2,2
Case 4327,3,0 0 0 0 0 0 0 0 0 0 3 3 3 3,4,2,2
Case 4327,3,0 0 0 0 0 0 0 0 0 3 3 3 3 3,5,2,2
Case 4327,3,0 0 0 0 0 0 0 0 3 3 3 3 3 3,6,2,2
