case_id,Resource,Prefix,Prefix Length,Next-Feature,Last-Feature
Case 4081,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,1,1
Case 4082,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,2,2
Case 4082,4,0 0 0 0 0 0 0 0 0 0 0 0 3 4,2,3,2
Case 4082,5,0 0 0 0 0 0 0 0 0 0 0 3 4 5,3,3,2
Case 4082,5,0 0 0 0 0 0 0 0 0 0 3 4 5 5,4,2,2
Case 4083,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,4,1
Case 4083,6,0 0 0 0 0 0 0 0 0 0 0 0 3 6,2,4,1
Case 4083,6,0 0 0 0 0 0 0 0 0 0 0 3 6 6,3,1,1
Case 4084,7,0 0 0 0 0 0 0 0 0 0 0 0 0 7,1,5,2
Case 4084,2,0 0 0 0 0 0 0 0 0 0 0 0 7 2,2,5,2
Case 4084,2,0 0 0 0 0 0 0 0 0 0 0 7 2 2,3,5,2
Case 4084,2,0 0 0 0 0 0 0 0 0 0 7 2 2 2,4,2,2
Case 4085,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,5,1
Case 4085,2,0 0 0 0 0 0 0 0 0 0 0 0 3 2,2,5,1
Case 4085,2,0 0 0 0 0 0 0 0 0 0 0 3 2 2,3,1,1
Case 4086,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,4,1
Case 4086,6,0 0 0 0 0 0 0 0 0 0 0 0 3 6,2,6,1
Case 4086,8,0 0 0 0 0 0 0 0 0 0 0 3 6 8,3,6,1
Case 4086,8,0 0 0 0 0 0 0 0 0 0 3 6 8 8,4,1,1
Case 4087,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,4,1
Case 4087,6,0 0 0 0 0 0 0 0 0 0 0 0 3 6,2,4,1
Case 4087,6,0 0 0 0 0 0 0 0 0 0 0 3 6 6,3,4,1
Case 4087,6,0 0 0 0 0 0 0 0 0 0 3 6 6 6,4,1,1
Case 4088,6,0 0 0 0 0 0 0 0 0 0 0 0 0 6,1,5,1
Case 4088,2,0 0 0 0 0 0 0 0 0 0 0 0 6 2,2,5,1
Case 4088,2,0 0 0 0 0 0 0 0 0 0 0 6 2 2,3,1,1
Case 4089,5,0 0 0 0 0 0 0 0 0 0 0 0 0 5,1,3,1
Case 4089,5,0 0 0 0 0 0 0 0 0 0 0 0 5 5,2,3,1
Case 4089,5,0 0 0 0 0 0 0 0 0 0 0 5 5 5,3,3,1
Case 4089,5,0 0 0 0 0 0 0 0 0 0 5 5 5 5,4,1,1
Case 409,5,0 0 0 0 0 0 0 0 0 0 0 0 0 5,1,7,1
Case 409,9,0 0 0 0 0 0 0 0 0 0 0 0 5 9,2,7,1
Case 409,9,0 0 0 0 0 0 0 0 0 0 0 5 9 9,3,1,1
Case 4090,10,0 0 0 0 0 0 0 0 0 0 0 0 0 10,1,8,1
Case 4090,10,0 0 0 0 0 0 0 0 0 0 0 0 10 10,2,8,1
Case 4090,10,0 0 0 0 0 0 0 0 0 0 0 10 10 10,3,1,1
Case 4091,6,0 0 0 0 0 0 0 0 0 0 0 0 0 6,1,4,1
Case 4091,6,0 0 0 0 0 0 0 0 0 0 0 0 6 6,2,4,1
Case 4091,6,0 0 0 0 0 0 0 0 0 0 0 6 6 6,3,1,1
Case 4092,11,0 0 0 0 0 0 0 0 0 0 0 0 0 11,1,5,1
Case 4092,2,0 0 0 0 0 0 0 0 0 0 0 0 11 2,2,5,1
Case 4092,2,0 0 0 0 0 0 0 0 0 0 0 11 2 2,3,1,1
Case 4093,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,5,1
