case_id,concept:name,concept:name_prefix,concept:name_k,concept:name_next
Case 1,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 1,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket
Case 1,take-in-charge-ticket,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,resolve-ticket
Case 1,resolve-ticket,assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket,3,closed
Case 2,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 2,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 3,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 3,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 3,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 4,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 4,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 4,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 5,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 5,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 5,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,take-in-charge-ticket
Case 5,take-in-charge-ticket,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,resolve-ticket
Case 5,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,4,closed
Case 6,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 6,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 6,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 7,assign-seriousness,assign-seriousness,0,assign-seriousness
Case 7,assign-seriousness,assign-seriousness assign-seriousness,1,assign-seriousness
Case 7,assign-seriousness,assign-seriousness assign-seriousness assign-seriousness,2,take-in-charge-ticket
Case 7,take-in-charge-ticket,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket,3,resolve-ticket
Case 7,resolve-ticket,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,4,closed
Case 8,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 8,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 8,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
