case_id,concept:name,concept:name_prefix,concept:name_k,concept:name_next,Resource,Resource_prefix,Resource_k,Resource_next
Case 3429,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 3,0,4,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 4,0,4
Case 3429,4,0 0 0 0 0 0 0 0 0 0 0 0 0 3 4,1,5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4 4,1,4
Case 3429,5,0 0 0 0 0 0 0 0 0 0 0 0 3 4 5,2,6,4,0 0 0 0 0 0 0 0 0 0 0 0 4 4 4,2,7
Case 3429,6,0 0 0 0 0 0 0 0 0 0 0 3 4 5 6,3,2,7,0 0 0 0 0 0 0 0 0 0 0 4 4 4 7,3,2
Case 3430,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 3,0,4,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 3,0,15
Case 3430,4,0 0 0 0 0 0 0 0 0 0 0 0 0 3 4,1,5,15,0 0 0 0 0 0 0 0 0 0 0 0 0 3 15,1,15
Case 3430,5,0 0 0 0 0 0 0 0 0 0 0 0 3 4 5,2,6,15,0 0 0 0 0 0 0 0 0 0 0 0 3 15 15,2,7
Case 3430,6,0 0 0 0 0 0 0 0 0 0 0 3 4 5 6,3,2,7,0 0 0 0 0 0 0 0 0 0 0 3 15 15 7,3,2
Case 3431,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 3,0,3,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 3,0,3
Case 3431,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3 3,1,4,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3 3,1,3
Case 3431,4,0 0 0 0 0 0 0 0 0 0 0 0 3 3 4,2,5,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3 3,2,8
Case 3431,5,0 0 0 0 0 0 0 0 0 0 0 3 3 4 5,3,6,8,0 0 0 0 0 0 0 0 0 0 0 3 3 3 8,3,7
Case 3431,6,0 0 0 0 0 0 0 0 0 0 3 3 4 5 6,4,2,7,0 0 0 0 0 0 0 0 0 0 3 3 3 8 7,4,2
Case 3432,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 3,0,4,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 3,0,3
Case 3432,4,0 0 0 0 0 0 0 0 0 0 0 0 0 3 4,1,8,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3 3,1,3
Case 3432,8,0 0 0 0 0 0 0 0 0 0 0 0 3 4 8,2,5,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3 3,2,3
Case 3432,5,0 0 0 0 0 0 0 0 0 0 0 3 4 8 5,3,6,3,0 0 0 0 0 0 0 0 0 0 0 3 3 3 3,3,7
Case 3432,6,0 0 0 0 0 0 0 0 0 0 3 4 8 5 6,4,2,7,0 0 0 0 0 0 0 0 0 0 3 3 3 3 7,4,2
Case 3433,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 3,0,3,10,0 0 0 0 0 0 0 0 0 0 0 0 0 0 10,0,4
