case_id,concept:name,concept:name_prefix,concept:name_k,concept:name_next,Resource,Resource_prefix,Resource_k,Resource_next
Case 3429,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_2,Value_2,0,Value_2
Case 3429,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value_2,Value_2 Value_2,1,Value_2
Case 3429,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value_2,Value_2 Value_2 Value_2,2,Value_5
Case 3429,closed,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,[END],Value_5,Value_2 Value_2 Value_2 Value_5,3,[END]
Case 3430,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_1,Value_1,0,Value_13
Case 3430,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value_13,Value_1 Value_13,1,Value_13
Case 3430,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value_13,Value_1 Value_13 Value_13,2,Value_5
Case 3430,closed,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,[END],Value_5,Value_1 Value_13 Value_13 Value_5,3,[END]
Case 3431,assign-seriousness,assign-seriousness,0,assign-seriousness,Value_1,Value_1,0,Value_1
Case 3431,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value_1,Value_1 Value_1,1,Value_1
Case 3431,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value_1,Value_1 Value_1 Value_1,2,Value_6
Case 3431,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value_6,Value_1 Value_1 Value_1 Value_6,3,Value_5
Case 3431,closed,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket closed,4,[END],Value_5,Value_1 Value_1 Value_1 Value_6 Value_5,4,[END]
Case 3432,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_1,Value_1,0,Value_1
Case 3432,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value_1,Value_1 Value_1,1,Value_1
Case 3432,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value_1,Value_1 Value_1 Value_1,2,Value_1
Case 3432,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value_1,Value_1 Value_1 Value_1 Value_1,3,Value_5
Case 3432,closed,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,[END],Value_5,Value_1 Value_1 Value_1 Value_1 Value_5,4,[END]
Case 3433,assign-seriousness,assign-seriousness,0,assign-seriousness,Value_8,Value_8,0,Value_2
Case 3433,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value_2,Value_8 Value_2,1,Value_2
Case 3433,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,wait,Value_2,Value_8 Value_2 Value_2,2,Value_13
Case 3433,wait,assign-seriousness assign-seriousness take-in-charge-ticket wait,3,take-in-charge-ticket,Value_13,Value_8 Value_2 Value_2 Value_13,3,Value_13
Case 3433,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,4,resolve-ticket,Value_13,Value_8 Value_2 Value_2 Value_13 Value_13,4,Value_13
Case 3433,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,5,closed,Value_13,Value_8 Value_2 Value_2 Value_13 Value_13 Value_13,5,Value_5
Case 3433,closed,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,6,[END],Value_5,Value_8 Value_2 Value_2 Value_13 Value_13 Value_13 Value_5,6,[END]
Case 3434,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value_9,Value_9,0,Value_9
Case 3434,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value_9,Value_9 Value_9,1,Value_11
Case 3434,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value_11,Value_9 Value_9 Value_11,2,Value_11
