case_id,concept:name,concept:name_prefix,concept:name_k,concept:name_next,Resource,Resource_prefix,Resource_k,Resource_next
Case 1151,resolve-ticket,resolve-ticket,0,closed,Value 15,Value 15,0,Value 5
Case 1152,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 2,Value 2,0,Value 2
Case 1152,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2,Value 2 Value 2,1,Value 2
Case 1152,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2,Value 2 Value 2 Value 2,2,Value 5
Case 1153,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 1,Value 1,0,Value 2
Case 1153,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value 2,Value 1 Value 2,1,Value 2
Case 1153,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 2,Value 1 Value 2 Value 2,2,Value 2
Case 1153,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 2,Value 1 Value 2 Value 2 Value 2,3,Value 5
Case 1154,assign-seriousness,assign-seriousness,0,wait,Value 1,Value 1,0,Value 1
Case 1154,wait,assign-seriousness wait,1,take-in-charge-ticket,Value 1,Value 1 Value 1,1,Value 1
Case 1154,take-in-charge-ticket,assign-seriousness wait take-in-charge-ticket,2,resolve-ticket,Value 1,Value 1 Value 1 Value 1,2,Value 1
Case 1154,resolve-ticket,assign-seriousness wait take-in-charge-ticket resolve-ticket,3,resolve-ticket,Value 1,Value 1 Value 1 Value 1 Value 1,3,Value 1
Case 1154,resolve-ticket,assign-seriousness wait take-in-charge-ticket resolve-ticket resolve-ticket,4,closed,Value 1,Value 1 Value 1 Value 1 Value 1 Value 1,4,Value 5
Case 1155,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 9,Value 9,0,Value 2
Case 1155,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value 2,Value 9 Value 2,1,Value 2
Case 1155,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 2,Value 9 Value 2 Value 2,2,Value 2
Case 1155,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 2,Value 9 Value 2 Value 2 Value 2,3,Value 2
Case 1155,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 2,Value 9 Value 2 Value 2 Value 2 Value 2,4,Value 5
Case 1156,assign-seriousness,assign-seriousness,0,take-in-charge-ticket,Value 14,Value 14,0,Value 2
Case 1156,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait,Value 2,Value 14 Value 2,1,Value 2
Case 1156,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 2,Value 14 Value 2 Value 2,2,Value 2
Case 1156,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 2,Value 14 Value 2 Value 2 Value 2,3,Value 3
