case_id,prefix,k,next_act,Resource
Case 1,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 1,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket,Value 1
Case 1,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,resolve-ticket,Value 2
Case 1,assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket,3,closed,Value 1
Case 2,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 2,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 2,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 3,assign-seriousness,0,take-in-charge-ticket,Value 6
Case 3,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 7
Case 3,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 7
Case 4,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 4,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 4,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 5,assign-seriousness,0,take-in-charge-ticket,Value 9
Case 5,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 10
Case 5,assign-seriousness take-in-charge-ticket resolve-ticket,2,take-in-charge-ticket,Value 10
Case 5,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,resolve-ticket,Value 10
Case 5,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,4,closed,Value 10
Case 6,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 6,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 6,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 7,assign-seriousness,0,assign-seriousness,Value 1
Case 7,assign-seriousness assign-seriousness,1,assign-seriousness,Value 1
Case 7,assign-seriousness assign-seriousness assign-seriousness,2,take-in-charge-ticket,Value 2
Case 7,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket,3,resolve-ticket,Value 11
Case 7,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,4,closed,Value 11
Case 8,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 8,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 6
Case 8,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 6
Case 9,insert-ticket,0,assign-seriousness,Value 12
Case 9,insert-ticket assign-seriousness,1,take-in-charge-ticket,Value 12
Case 9,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 6
Case 9,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 12
Case 10,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 10,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 10,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 11,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 11,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 11,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 12,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 12,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 12,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 13,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 13,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 13,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 14,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 14,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 14,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 15,assign-seriousness,0,assign-seriousness,Value 2
Case 15,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 2
Case 15,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 9
Case 15,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 9
Case 16,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 16,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket,Value 9
Case 16,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,resolve-ticket,Value 1
Case 16,assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket,3,closed,Value 9
Case 17,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 17,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 17,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 18,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 18,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 18,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket,Value 1
Case 18,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed,Value 1
Case 19,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 19,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 7
Case 19,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 7
Case 20,assign-seriousness,0,take-in-charge-ticket,Value 14
Case 20,assign-seriousness take-in-charge-ticket,1,wait,Value 9
Case 20,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 9
Case 20,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 9
Case 21,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 21,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 21,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 22,assign-seriousness,0,take-in-charge-ticket,Value 1
