case_id,Resource,Prefix,Prefix Length,Next-Feature,Last-Feature
Case 2789,18,18 0 0 0 0 0 0 0 0 0 0 0 0 0,1,19,1
Case 2789,19,18 19 0 0 0 0 0 0 0 0 0 0 0 0,2,19,1
Case 2789,19,18 19 19 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 261,19,19 0 0 0 0 0 0 0 0 0 0 0 0 0,1,19,1
Case 261,19,19 19 0 0 0 0 0 0 0 0 0 0 0 0,2,19,1
Case 261,19,19 19 19 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 2342,18,18 0 0 0 0 0 0 0 0 0 0 0 0 0,1,19,9
Case 2342,19,18 19 0 0 0 0 0 0 0 0 0 0 0 0,2,19,9
Case 2342,19,18 19 19 0 0 0 0 0 0 0 0 0 0 0,3,19,9
Case 2342,19,18 19 19 19 0 0 0 0 0 0 0 0 0 0,4,18,9
Case 2342,18,18 19 19 19 18 0 0 0 0 0 0 0 0 0,5,20,9
Case 2374,19,19 0 0 0 0 0 0 0 0 0 0 0 0 0,1,19,1
Case 2374,19,19 19 0 0 0 0 0 0 0 0 0 0 0 0,2,19,1
Case 2374,19,19 19 19 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4106,17,17 0 0 0 0 0 0 0 0 0 0 0 0 0,1,16,1
Case 4106,17,17 17 0 0 0 0 0 0 0 0 0 0 0 0,2,16,1
Case 4106,17,17 17 17 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 1169,19,19 0 0 0 0 0 0 0 0 0 0 0 0 0,1,19,1
Case 1169,19,19 19 0 0 0 0 0 0 0 0 0 0 0 0,2,2,1
Case 1116,19,19 0 0 0 0 0 0 0 0 0 0 0 0 0,1,16,9
Case 1116,17,19 17 0 0 0 0 0 0 0 0 0 0 0 0,2,16,9
Case 1116,17,19 17 17 0 0 0 0 0 0 0 0 0 0 0,3,20,9
Case 2415,19,19 0 0 0 0 0 0 0 0 0 0 0 0 0,1,16,1
Case 2415,17,19 17 0 0 0 0 0 0 0 0 0 0 0 0,2,16,1
Case 2415,17,19 17 17 0 0 0 0 0 0 0 0 0 0 0,3,2,1
