case_id,Resource,Prefix,Prefix Length,Next-Feature,Last-Feature
Case 3762,2,2 0 0 0 0 0 0,1,1,1
Case 3762,2,2 2 0 0 0 0 0,2,1,1
Case 3763,3,3 0 0 0 0 0 0,1,2,2
Case 3764,3,3 0 0 0 0 0 0,1,3,3
Case 3764,4,3 4 0 0 0 0 0,2,3,3
Case 376,5,5 0 0 0 0 0 0,1,4,4
Case 376,5,5 5 0 0 0 0 0,2,4,4
Case 3778,6,6 0 0 0 0 0 0,1,5,5
Case 3730,4,4 0 0 0 0 0 0,1,3,3
Case 3730,4,4 4 0 0 0 0 0,2,3,3
Case 373,7,7 0 0 0 0 0 0,1,6,6
Case 373,3,7 3 0 0 0 0 0,2,7,6
Case 3700,8,8 0 0 0 0 0 0,1,6,7
Case 3701,2,2 0 0 0 0 0 0,1,1,1
Case 3701,2,2 2 0 0 0 0 0,2,1,1
Case 3702,9,9 0 0 0 0 0 0,1,1,6
Case 3702,2,9 2 0 0 0 0 0,2,7,6
Case 3703,2,2 0 0 0 0 0 0,1,4,4
Case 3704,9,9 0 0 0 0 0 0,1,2,2
Case 3705,3,3 0 0 0 0 0 0,1,6,7
Case 3706,9,9 0 0 0 0 0 0,1,1,1
Case 3706,2,9 2 0 0 0 0 0,2,1,1
Case 3707,3,3 0 0 0 0 0 0,1,8,8
Case 3707,10,3 10 0 0 0 0 0,2,8,8
Case 3709,3,3 0 0 0 0 0 0,1,1,1
Case 3709,2,3 2 0 0 0 0 0,2,1,1
Case 371,3,3 0 0 0 0 0 0,1,6,7
Case 371,3,3 3 0 0 0 0 0,2,6,7
Case 37,6,6 0 0 0 0 0 0,1,5,2
Case 37,6,6 6 0 0 0 0 0,2,2,2
Case 3689,3,3 0 0 0 0 0 0,1,6,7
Case 369,2,2 0 0 0 0 0 0,1,7,1
Case 369,7,2 7 0 0 0 0 0,2,1,1
Case 369,2,2 7 2 0 0 0 0,3,1,1
Case 3690,9,9 0 0 0 0 0 0,1,2,2
Case 3691,4,4 0 0 0 0 0 0,1,9,9
Case 3692,3,3 0 0 0 0 0 0,1,6,7
Case 3693,2,2 0 0 0 0 0 0,1,1,1
Case 3693,2,2 2 0 0 0 0 0,2,1,1
Case 3694,7,7 0 0 0 0 0 0,1,2,2
Case 3699,4,4 0 0 0 0 0 0,1,1,1
Case 3710,7,7 0 0 0 0 0 0,1,7,6
Case 3722,11,11 0 0 0 0 0 0,1,1,1
Case 3722,2,11 2 0 0 0 0 0,2,1,1
Case 3723,4,4 0 0 0 0 0 0,1,10,10
Case 3723,8,4 8 0 0 0 0 0,2,10,10
Case 3724,8,8 0 0 0 0 0 0,1,10,10
Case 3724,8,8 8 0 0 0 0 0,2,10,10
Case 3725,3,3 0 0 0 0 0 0,1,6,7
Case 3725,3,3 3 0 0 0 0 0,2,6,7
Case 3727,4,4 0 0 0 0 0 0,1,3,3
Case 3728,3,3 0 0 0 0 0 0,1,1,1
Case 3728,2,3 2 0 0 0 0 0,2,1,1
Case 3729,3,3 0 0 0 0 0 0,1,6,7
Case 372,9,9 0 0 0 0 0 0,1,2,3
Case 372,9,9 9 0 0 0 0 0,2,3,3
Case 3711,9,9 0 0 0 0 0 0,1,2,2
Case 3711,9,9 9 0 0 0 0 0,2,2,2
Case 3712,3,3 0 0 0 0 0 0,1,2,2
Case 3712,9,3 9 0 0 0 0 0,2,2,2
Case 3715,4,4 0 0 0 0 0 0,1,3,3
Case 3715,4,4 4 0 0 0 0 0,2,3,3
Case 3716,12,12 0 0 0 0 0 0,1,11,11
Case 3716,12,12 12 0 0 0 0 0,2,11,11
Case 3717,6,6 0 0 0 0 0 0,1,12,1
Case 3717,13,6 13 0 0 0 0 0,2,12,1
Case 3717,13,6 13 13 0 0 0 0,3,1,1
Case 3718,3,3 0 0 0 0 0 0,1,2,2
Case 3719,3,3 0 0 0 0 0 0,1,6,7
Case 3719,3,3 3 0 0 0 0 0,2,6,7
Case 4044,6,6 0 0 0 0 0 0,1,13,12
Case 3779,7,7 0 0 0 0 0 0,1,6,7
Case 3840,2,2 0 0 0 0 0 0,1,1,1
Case 3840,2,2 2 0 0 0 0 0,2,1,1
Case 3842,3,3 0 0 0 0 0 0,1,7,6
Case 3843,6,6 0 0 0 0 0 0,1,5,5
Case 3843,6,6 6 0 0 0 0 0,2,5,5
Case 3844,7,7 0 0 0 0 0 0,1,9,9
Case 3844,14,7 14 0 0 0 0 0,2,9,9
Case 3845,3,3 0 0 0 0 0 0,1,6,7
Case 3846,3,3 0 0 0 0 0 0,1,1,1
Case 3846,2,3 2 0 0 0 0 0,2,1,1
Case 3847,4,4 0 0 0 0 0 0,1,2,2
Case 3847,9,4 9 0 0 0 0 0,2,2,2
Case 3847,9,4 9 9 0 0 0 0,3,2,2
Case 3848,6,6 0 0 0 0 0 0,1,5,5
Case 3848,6,6 6 0 0 0 0 0,2,5,5
Case 3848,6,6 6 6 0 0 0 0,3,5,5
Case 3848,6,6 6 6 6 0 0 0,4,5,5
Case 3839,7,7 0 0 0 0 0 0,1,7,6
Case 3838,6,6 0 0 0 0 0 0,1,5,5
Case 3838,6,6 6 0 0 0 0 0,2,5,5
Case 3828,3,3 0 0 0 0 0 0,1,6,7
Case 3830,3,3 0 0 0 0 0 0,1,1,1
Case 3831,15,15 0 0 0 0 0 0,1,13,12
Case 3831,15,15 15 0 0 0 0 0,2,13,12
Case 3833,6,6 0 0 0 0 0 0,1,5,1
Case 3833,6,6 6 0 0 0 0 0,2,1,1
Case 3833,2,6 6 2 0 0 0 0,3,1,1
Case 3836,6,6 0 0 0 0 0 0,1,5,4
Case 3836,6,6 6 0 0 0 0 0,2,4,4
Case 385,9,9 0 0 0 0 0 0,1,1,1
Case 385,2,9 2 0 0 0 0 0,2,1,1
Case 3862,3,3 0 0 0 0 0 0,1,6,7
Case 3862,3,3 3 0 0 0 0 0,2,6,7
Case 3863,2,2 0 0 0 0 0 0,1,1,1
Case 3863,2,2 2 0 0 0 0 0,2,1,1
Case 3866,2,2 0 0 0 0 0 0,1,12,13
Case 3866,13,2 13 0 0 0 0 0,2,12,13
Case 3867,9,9 0 0 0 0 0 0,1,2,2
Case 3867,9,9 9 0 0 0 0 0,2,2,2
Case 3867,9,9 9 9 0 0 0 0,3,2,2
Case 3869,4,4 0 0 0 0 0 0,1,2,2
Case 3869,9,4 9 0 0 0 0 0,2,2,2
Case 387,3,3 0 0 0 0 0 0,1,6,7
Case 3861,9,9 0 0 0 0 0 0,1,2,2
Case 3860,2,2 0 0 0 0 0 0,1,1,1
Case 3850,16,16 0 0 0 0 0 0,1,1,1
Case 3850,2,16 2 0 0 0 0 0,2,1,1
Case 3851,7,7 0 0 0 0 0 0,1,7,6
Case 3853,3,3 0 0 0 0 0 0,1,10,10
Case 3853,8,3 8 0 0 0 0 0,2,10,10
Case 3854,3,3 0 0 0 0 0 0,1,6,7
Case 3827,2,2 0 0 0 0 0 0,1,12,13
