case_id,time_timestamp,time_timestamp##Prefix,time_timestamp##Prefix Length,time_timestamp##Next-Feature,time_timestamp##Last-Feature
Case 2789,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,1,44
Case 2789,1,0 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,1,44
Case 2789,1,0 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,44,44
Case 261,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,32
Case 261,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,0,32
Case 261,0,0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,32,32
Case 2342,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,14,42
Case 2342,14,0 14 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,14,42
Case 2342,14,0 14 14 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,14,42
Case 2342,14,0 14 14 14 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,27,42
Case 2342,27,0 14 14 14 27 -1 -1 -1 -1 -1 -1 -1 -1 -1,5,42,42
Case 2374,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,38
Case 2374,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,0,38
Case 2374,0,0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,38,38
Case 4106,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,46
Case 4106,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,0,46
Case 4106,0,0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,46,46
Case 1169,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,46
Case 1169,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,46,46
Case 1116,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,43
Case 1116,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,28,43
Case 1116,28,0 0 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,43,43
Case 2415,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,46
Case 2415,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,8,46
Case 2415,8,0 0 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,46,46
Case 1122,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,38
Case 1122,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,0,38
Case 1122,0,0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,38,38
Case 901,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,2,46
Case 901,2,0 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,2,46
Case 901,2,0 2 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,46,46
Case 1817,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,38
Case 1817,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,2,38
Case 1817,2,0 0 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,38,38
Case 4037,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,32
Case 4037,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,0,32
Case 4037,0,0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,32,32
Case 3885,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,37
Case 3885,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,0,37
Case 3885,0,0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,37,37
Case 910,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,32
Case 910,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,2,32
Case 910,2,0 0 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,32,32
Case 73,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,37
Case 73,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,37,37
Case 2534,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,36
Case 2534,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,5,36
Case 2534,5,0 0 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,36,36
Case 1102,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,38
Case 1102,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,6,38
Case 1102,6,0 0 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,6,38
Case 1102,6,0 0 6 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,38,38
Case 533,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,37
Case 533,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,7,37
Case 533,7,0 0 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,37,37
Case 829,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,38
Case 829,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,1,38
Case 829,1,0 0 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,38,38
Case 2474,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,1,38
Case 2474,1,0 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,2,38
Case 2474,2,0 1 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,38,38
Case 3413,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,38
Case 3413,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,2,38
Case 3413,2,0 0 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,5,38
Case 3413,5,0 0 2 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,38,38
Case 1112,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,1,51
Case 1112,1,0 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,13,51
Case 1112,13,0 1 13 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,22,51
Case 1112,22,0 1 13 22 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,36,51
Case 1112,36,0 1 13 22 36 -1 -1 -1 -1 -1 -1 -1 -1 -1,5,51,51
Case 1466,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,1,44
Case 1466,1,0 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,2,44
Case 1466,2,0 1 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,44,44
Case 1587,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,1,41
Case 1587,1,0 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,14,41
Case 1587,14,0 1 14 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,26,41
Case 1587,26,0 1 14 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,41,41
Case 2167,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,42
Case 2167,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,27,42
Case 2167,27,0 0 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,42,42
Case 2791,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,22,37
Case 2791,22,0 22 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,22,37
Case 2791,22,0 22 22 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,37,37
Case 1787,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,5,37
Case 1787,5,0 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,15,37
Case 1787,15,0 5 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,15,37
Case 1787,15,0 5 15 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,22,37
Case 1787,22,0 5 15 15 22 -1 -1 -1 -1 -1 -1 -1 -1 -1,5,22,37
Case 1787,22,0 5 15 15 22 22 -1 -1 -1 -1 -1 -1 -1 -1,6,37,37
Case 4469,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,38
Case 4469,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,0,38
Case 4469,0,0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,38,38
Case 3880,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,38
