case_id,time_timestamp,time_timestamp##Prefix,time_timestamp##Prefix Length,time_timestamp##Next-Feature,time_timestamp##Last-Feature
Case 3608,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,16,31
Case 3608,16,0 16 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,16,31
Case 3608,16,0 16 16 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,31,31
Case 3608,31,0 16 16 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,31,31
Case 2748,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,5,30
Case 2748,5,0 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,5,30
Case 2748,5,0 5 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,30,30
Case 4284,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,14,51
Case 4284,14,0 14 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,14,51
Case 4284,14,0 14 14 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,14,51
Case 4284,14,0 14 14 14 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,14,51
Case 4284,14,0 14 14 14 14 -1 -1 -1 -1 -1 -1 -1 -1 -1,5,14,51
Case 4284,14,0 14 14 14 14 14 -1 -1 -1 -1 -1 -1 -1 -1,6,29,51
Case 4284,29,0 14 14 14 14 14 29 -1 -1 -1 -1 -1 -1 -1,7,51,51
Case 1534,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,12,31
Case 1534,12,0 12 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,12,31
Case 1534,12,0 12 12 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,31,31
Case 1534,31,0 12 12 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,31,31
Case 406,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,30
Case 406,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,0,30
Case 406,0,0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,0,30
Case 406,0,0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,30,30
Case 4539,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,51
Case 4539,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,6,51
Case 4539,6,0 0 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,6,51
Case 4539,6,0 0 6 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,51,51
Case 2118,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,26,33
Case 2118,26,0 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,33,33
Case 2118,33,0 26 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,33,33
Case 3625,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,44
Case 3625,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,18,44
Case 3625,18,0 0 18 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,29,44
Case 3625,29,0 0 18 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,44,44
Case 1621,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,16,31
