case_id,time_timestamp,time_timestamp##Prefix,time_timestamp##Prefix Length,time_timestamp##Next-Feature,time_timestamp##Last-Feature,day_of_week,day_of_week##Prefix,day_of_week##Prefix Length,day_of_week##Next-Feature,day_of_week##Last-Feature,hour_of_day,hour_of_day##Prefix,hour_of_day##Prefix Length,hour_of_day##Next-Feature,hour_of_day##Last-Feature
Case 4297,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,68464,2678645,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,2,4,12,0 0 0 0 0 0 0 0 0 0 0 0 0 12,1,7,12
Case 4297,68464,0 0 0 0 0 0 0 0 0 0 0 0 1 68464,2,88625,2678645,2,0 0 0 0 0 0 0 0 0 0 0 0 1 2,2,2,4,7,0 0 0 0 0 0 0 0 0 0 0 0 12 7,2,12,12
Case 4297,88625,0 0 0 0 0 0 0 0 0 0 0 1 68464 88625,3,2678645,2678645,2,0 0 0 0 0 0 0 0 0 0 0 1 2 2,3,4,4,12,0 0 0 0 0 0 0 0 0 0 0 12 7 12,3,12,12
Case 4298,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,25,4579477,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1,5,14,0 0 0 0 0 0 0 0 0 0 0 0 0 14,1,14,14
Case 4298,25,0 0 0 0 0 0 0 0 0 0 0 0 1 25,2,4579477,4579477,1,0 0 0 0 0 0 0 0 0 0 0 0 1 1,2,5,5,14,0 0 0 0 0 0 0 0 0 0 0 0 14 14,2,14,14
Case 4299,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,3650,2678883,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1,4,15,0 0 0 0 0 0 0 0 0 0 0 0 0 15,1,16,16
Case 4299,3650,0 0 0 0 0 0 0 0 0 0 0 0 1 3650,2,81888,2678883,1,0 0 0 0 0 0 0 0 0 0 0 0 1 1,2,2,4,16,0 0 0 0 0 0 0 0 0 0 0 0 15 16,2,14,16
Case 4299,81888,0 0 0 0 0 0 0 0 0 0 0 1 3650 81888,3,81889,2678883,2,0 0 0 0 0 0 0 0 0 0 0 1 1 2,3,2,4,14,0 0 0 0 0 0 0 0 0 0 0 15 16 14,3,14,16
Case 4299,81889,0 0 0 0 0 0 0 0 0 0 1 3650 81888 81889,4,2678883,2678883,2,0 0 0 0 0 0 0 0 0 0 1 1 2 2,4,4,4,14,0 0 0 0 0 0 0 0 0 0 15 16 14 14,4,16,16
Case 43,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1856,3974629,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1,5,8,0 0 0 0 0 0 0 0 0 0 0 0 0 8,1,9,9
Case 43,1856,0 0 0 0 0 0 0 0 0 0 0 0 1 1856,2,7017,3974629,1,0 0 0 0 0 0 0 0 0 0 0 0 1 1,2,1,5,9,0 0 0 0 0 0 0 0 0 0 0 0 8 9,2,10,9
Case 43,7017,0 0 0 0 0 0 0 0 0 0 0 1 1856 7017,3,3974629,3974629,1,0 0 0 0 0 0 0 0 0 0 0 1 1 1,3,5,5,10,0 0 0 0 0 0 0 0 0 0 0 8 9 10,3,9,9
Case 430,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,9,2679060,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1,4,11,0 0 0 0 0 0 0 0 0 0 0 0 0 11,1,11,11
Case 430,9,0 0 0 0 0 0 0 0 0 0 0 0 1 9,2,19,2679060,1,0 0 0 0 0 0 0 0 0 0 0 0 1 1,2,1,4,11,0 0 0 0 0 0 0 0 0 0 0 0 11 11,2,11,11
Case 430,19,0 0 0 0 0 0 0 0 0 0 0 1 9 19,3,2679060,2679060,1,0 0 0 0 0 0 0 0 0 0 0 1 1 1,3,4,4,11,0 0 0 0 0 0 0 0 0 0 0 11 11 11,3,11,11
Case 4300,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,12467,2777322,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1,5,9,0 0 0 0 0 0 0 0 0 0 0 0 0 9,1,12,12
Case 4300,12467,0 0 0 0 0 0 0 0 0 0 0 0 1 12467,2,535745,2777322,1,0 0 0 0 0 0 0 0 0 0 0 0 1 1,2,0,5,12,0 0 0 0 0 0 0 0 0 0 0 0 9 12,2,14,12
Case 4300,535745,0 0 0 0 0 0 0 0 0 0 0 1 12467 535745,3,708832,2777322,0,0 0 0 0 0 0 0 0 0 0 0 1 1 0,3,2,5,14,0 0 0 0 0 0 0 0 0 0 0 9 12 14,3,14,12
Case 4300,708832,0 0 0 0 0 0 0 0 0 0 1 12467 535745 708832,4,1481313,2777322,2,0 0 0 0 0 0 0 0 0 0 1 1 0 2,4,4,5,14,0 0 0 0 0 0 0 0 0 0 9 12 14 14,4,12,12
Case 4300,1481313,0 0 0 0 0 0 0 0 0 1 12467 535745 708832 1481313,5,2777322,2777322,4,0 0 0 0 0 0 0 0 0 1 1 0 2 4,5,5,5,12,0 0 0 0 0 0 0 0 0 9 12 14 14 12,5,12,12
Case 4301,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,62432,3009228,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,3,2,14,0 0 0 0 0 0 0 0 0 0 0 0 0 14,1,7,10
Case 4301,62432,0 0 0 0 0 0 0 0 0 0 0 0 1 62432,2,606744,3009228,3,0 0 0 0 0 0 0 0 0 0 0 0 2 3,2,2,2,7,0 0 0 0 0 0 0 0 0 0 0 0 14 7,2,15,10
Case 4301,606744,0 0 0 0 0 0 0 0 0 0 0 1 62432 606744,3,1713214,3009228,2,0 0 0 0 0 0 0 0 0 0 0 2 3 2,3,1,2,15,0 0 0 0 0 0 0 0 0 0 0 14 7 15,3,10,10
Case 4301,1713214,0 0 0 0 0 0 0 0 0 0 1 62432 606744 1713214,4,3009228,3009228,1,0 0 0 0 0 0 0 0 0 0 2 3 2 1,4,2,2,10,0 0 0 0 0 0 0 0 0 0 14 7 15 10,4,10,10
Case 4302,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,301,4521704,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1,4,7,0 0 0 0 0 0 0 0 0 0 0 0 0 7,1,8,16
Case 4302,301,0 0 0 0 0 0 0 0 0 0 0 0 1 301,2,405,4521704,1,0 0 0 0 0 0 0 0 0 0 0 0 1 1,2,1,4,8,0 0 0 0 0 0 0 0 0 0 0 0 7 8,2,8,16
Case 4302,405,0 0 0 0 0 0 0 0 0 0 0 1 301 405,3,4521704,4521704,1,0 0 0 0 0 0 0 0 0 0 0 1 1 1,3,4,4,8,0 0 0 0 0 0 0 0 0 0 0 7 8 8,3,16,16
Case 4303,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,21,4417967,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1,3,11,0 0 0 0 0 0 0 0 0 0 0 0 0 11,1,11,14
Case 4303,21,0 0 0 0 0 0 0 0 0 0 0 0 1 21,2,38,4417967,1,0 0 0 0 0 0 0 0 0 0 0 0 1 1,2,1,3,11,0 0 0 0 0 0 0 0 0 0 0 0 11 11,2,11,14
Case 4303,38,0 0 0 0 0 0 0 0 0 0 0 1 21 38,3,165544,4417967,1,0 0 0 0 0 0 0 0 0 0 0 1 1 1,3,3,3,11,0 0 0 0 0 0 0 0 0 0 0 11 11 11,3,9,14
Case 4303,165544,0 0 0 0 0 0 0 0 0 0 1 21 38 165544,4,1825948,4417967,3,0 0 0 0 0 0 0 0 0 0 1 1 1 3,4,1,3,9,0 0 0 0 0 0 0 0 0 0 11 11 11 9,4,14,14
Case 4303,1825948,0 0 0 0 0 0 0 0 0 1 21 38 165544 1825948,5,4417967,4417967,1,0 0 0 0 0 0 0 0 0 1 1 1 3 1,5,3,3,14,0 0 0 0 0 0 0 0 0 11 11 11 9 14,5,14,14
Case 4304,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,72865,2678618,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,3,14,0 0 0 0 0 0 0 0 0 0 0 0 0 14,1,10,14
Case 4304,72865,0 0 0 0 0 0 0 0 0 0 0 0 1 72865,2,324548,2678618,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,2,4,3,10,0 0 0 0 0 0 0 0 0 0 0 0 14 10,2,8,14
Case 4304,324548,0 0 0 0 0 0 0 0 0 0 0 1 72865 324548,3,937514,2678618,4,0 0 0 0 0 0 0 0 0 0 0 0 1 4,3,4,3,8,0 0 0 0 0 0 0 0 0 0 0 14 10 8,3,11,14
Case 4304,937514,0 0 0 0 0 0 0 0 0 0 1 72865 324548 937514,4,2678618,2678618,4,0 0 0 0 0 0 0 0 0 0 0 1 4 4,4,3,3,11,0 0 0 0 0 0 0 0 0 0 14 10 8 11,4,14,14
Case 4305,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,82823,3870821,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,3,5,14,0 0 0 0 0 0 0 0 0 0 0 0 0 14,1,13,9
Case 4305,82823,0 0 0 0 0 0 0 0 0 0 0 0 1 82823,2,82849,3870821,3,0 0 0 0 0 0 0 0 0 0 0 0 2 3,2,3,5,13,0 0 0 0 0 0 0 0 0 0 0 0 14 13,2,13,9
Case 4305,82849,0 0 0 0 0 0 0 0 0 0 0 1 82823 82849,3,410720,3870821,3,0 0 0 0 0 0 0 0 0 0 0 2 3 3,3,0,5,13,0 0 0 0 0 0 0 0 0 0 0 14 13 13,3,8,9
Case 4305,410720,0 0 0 0 0 0 0 0 0 0 1 82823 82849 410720,4,3870821,3870821,0,0 0 0 0 0 0 0 0 0 0 2 3 3 0,4,5,5,8,0 0 0 0 0 0 0 0 0 0 14 13 13 8,4,9,9
Case 4306,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,1057,2938078,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,3,2,9,0 0 0 0 0 0 0 0 0 0 0 0 0 9,1,10,10
Case 4306,1057,0 0 0 0 0 0 0 0 0 0 0 0 1 1057,2,1123,2938078,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,2,3,2,10,0 0 0 0 0 0 0 0 0 0 0 0 9 10,2,10,10
Case 4306,1123,0 0 0 0 0 0 0 0 0 0 0 1 1057 1123,3,2938078,2938078,3,0 0 0 0 0 0 0 0 0 0 0 3 3 3,3,2,2,10,0 0 0 0 0 0 0 0 0 0 0 9 10 10,3,10,10
Case 4307,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,634170,4931678,4,0 0 0 0 0 0 0 0 0 0 0 0 0 4,1,4,5,7,0 0 0 0 0 0 0 0 0 0 0 0 0 7,1,15,9
Case 4307,634170,0 0 0 0 0 0 0 0 0 0 0 0 1 634170,2,1043647,4931678,4,0 0 0 0 0 0 0 0 0 0 0 0 4 4,2,2,5,15,0 0 0 0 0 0 0 0 0 0 0 0 7 15,2,9,9
Case 4307,1043647,0 0 0 0 0 0 0 0 0 0 0 1 634170 1043647,3,4931678,4931678,2,0 0 0 0 0 0 0 0 0 0 0 4 4 2,3,5,5,9,0 0 0 0 0 0 0 0 0 0 0 7 15 9,3,9,9
Case 4308,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,34,4151292,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,3,2,9,0 0 0 0 0 0 0 0 0 0 0 0 0 9,1,9,10
Case 4308,34,0 0 0 0 0 0 0 0 0 0 0 0 1 34,2,2726,4151292,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,2,3,2,9,0 0 0 0 0 0 0 0 0 0 0 0 9 9,2,10,10
Case 4308,2726,0 0 0 0 0 0 0 0 0 0 0 1 34 2726,3,4151292,4151292,3,0 0 0 0 0 0 0 0 0 0 0 3 3 3,3,2,2,10,0 0 0 0 0 0 0 0 0 0 0 9 9 10,3,10,10
Case 4309,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,801186,2681273,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1,2,3,7,0 0 0 0 0 0 0 0 0 0 0 0 0 7,1,13,8
Case 4309,801186,0 0 0 0 0 0 0 0 0 0 0 0 1 801186,2,1239463,2681273,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,2,0,3,13,0 0 0 0 0 0 0 0 0 0 0 0 7 13,2,15,8
Case 4309,1239463,0 0 0 0 0 0 0 0 0 0 0 1 801186 1239463,3,1295610,2681273,0,0 0 0 0 0 0 0 0 0 0 0 0 2 0,3,1,3,15,0 0 0 0 0 0 0 0 0 0 0 7 13 15,3,7,8
Case 4309,1295610,0 0 0 0 0 0 0 0 0 0 1 801186 1239463 1295610,4,2681273,2681273,1,0 0 0 0 0 0 0 0 0 0 0 2 0 1,4,3,3,7,0 0 0 0 0 0 0 0 0 0 7 13 15 7,4,8,8
Case 431,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,13,3024267,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,3,3,15,0 0 0 0 0 0 0 0 0 0 0 0 0 15,1,15,15
Case 431,13,0 0 0 0 0 0 0 0 0 0 0 0 1 13,2,62585,3024267,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,2,4,3,15,0 0 0 0 0 0 0 0 0 0 0 0 15 15,2,8,15
Case 431,62585,0 0 0 0 0 0 0 0 0 0 0 1 13 62585,3,3024267,3024267,4,0 0 0 0 0 0 0 0 0 0 0 3 3 4,3,3,3,8,0 0 0 0 0 0 0 0 0 0 0 15 15 8,3,15,15
Case 4310,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,9,3975024,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1,0,4,7,0 0 0 0 0 0 0 0 0 0 0 0 0 7,1,7,7
