case_id,time_timestamp,time_timestamp##Prefix,time_timestamp##Prefix Length,time_timestamp##Next-Feature,time_timestamp##Last-Feature,day_of_week,day_of_week##Prefix,day_of_week##Prefix Length,day_of_week##Next-Feature,day_of_week##Last-Feature,hour_of_day,hour_of_day##Prefix,hour_of_day##Prefix Length,hour_of_day##Next-Feature,hour_of_day##Last-Feature
Case 2015,26,0 0 0 0 0 0 0 0 0 0 0 0 0 26,1,2839,3801918,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,2,4,8,0 0 0 0 0 0 0 0 0 0 0 0 0 8,1,9,8
Case 2015,2839,0 0 0 0 0 0 0 0 0 0 0 0 26 2839,2,3801918,3801918,2,0 0 0 0 0 0 0 0 0 0 0 0 2 2,2,4,4,9,0 0 0 0 0 0 0 0 0 0 0 0 8 9,2,8,8
Case 2016,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,52431,3886320,2,0 0 0 0 0 0 0 0 0 0 0 0 0 2,1,3,5,17,0 0 0 0 0 0 0 0 0 0 0 0 0 17,1,8,17
Case 2016,52431,0 0 0 0 0 0 0 0 0 0 0 0 1 52431,2,52952,3886320,3,0 0 0 0 0 0 0 0 0 0 0 0 2 3,2,3,5,8,0 0 0 0 0 0 0 0 0 0 0 0 17 8,2,8,17
Case 2016,52952,0 0 0 0 0 0 0 0 0 0 0 1 52431 52952,3,3886320,3886320,3,0 0 0 0 0 0 0 0 0 0 0 2 3 3,3,5,5,8,0 0 0 0 0 0 0 0 0 0 0 17 8 8,3,17,17
Case 2017,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,21728,4151003,3,0 0 0 0 0 0 0 0 0 0 0 0 0 3,1,3,2,7,0 0 0 0 0 0 0 0 0 0 0 0 0 7,1,13,8
Case 2017,21728,0 0 0 0 0 0 0 0 0 0 0 0 1 21728,2,614156,4151003,3,0 0 0 0 0 0 0 0 0 0 0 0 3 3,2,3,2,13,0 0 0 0 0 0 0 0 0 0 0 0 7 13,2,10,8
Case 2017,614156,0 0 0 0 0 0 0 0 0 0 0 1 21728 614156,3,4151003,4151003,3,0 0 0 0 0 0 0 0 0 0 0 3 3 3,3,2,2,10,0 0 0 0 0 0 0 0 0 0 0 7 13 10,3,8,8
Case 2018,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,11,2700689,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1,0,3,7,0 0 0 0 0 0 0 0 0 0 0 0 0 7,1,7,13
Case 2018,11,0 0 0 0 0 0 0 0 0 0 0 0 1 11,2,7888,2700689,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,2,0,3,7,0 0 0 0 0 0 0 0 0 0 0 0 7 7,2,9,13
Case 2018,7888,0 0 0 0 0 0 0 0 0 0 0 1 11 7888,3,84018,2700689,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0,3,1,3,9,0 0 0 0 0 0 0 0 0 0 0 7 7 9,3,6,13
