case_id,Resource,Prefix,Prefix Length,Next-Feature,Last-Feature
Case 4539,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4539,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,10,1
Case 4539,10,7 7 10 0 0 0 0 0 0 0 0 0 0 0,3,10,1
Case 4539,10,7 7 10 10 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 791,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 791,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 791,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4505,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4505,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 4505,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 588,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 588,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 588,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 4378,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 4378,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 4378,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 4378,7,7 7 7 7 0 0 0 0 0 0 0 0 0 0,4,7,1
Case 4378,7,7 7 7 7 7 0 0 0 0 0 0 0 0 0,5,7,1
Case 4378,7,7 7 7 7 7 7 0 0 0 0 0 0 0 0,6,2,1
Case 765,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,1
Case 765,7,7 7 0 0 0 0 0 0 0 0 0 0 0 0,2,7,1
Case 765,7,7 7 7 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 81,11,11 0 0 0 0 0 0 0 0 0 0 0 0 0,1,11,1
Case 81,11,11 11 0 0 0 0 0 0 0 0 0 0 0 0,2,11,1
Case 81,11,11 11 11 0 0 0 0 0 0 0 0 0 0 0,3,7,1
Case 81,7,11 11 11 7 0 0 0 0 0 0 0 0 0 0,4,15,1
Case 81,15,11 11 11 7 15 0 0 0 0 0 0 0 0 0,5,15,1
Case 81,15,11 11 11 7 15 15 0 0 0 0 0 0 0 0,6,2,1
