case_id,Resource,Prefix,Prefix Length,Next-Feature,Last-Feature
Case 3046,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,1,1
Case 3047,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,2,2
Case 3047,3,2 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,2
Case 3047,3,2 3 3 0 0 0 0 0 0 0 0 0 0 0,3,3,2
Case 3048,3,3 0 0 0 0 0 0 0 0 0 0 0 0 0,1,2,2
Case 3048,3,3 3 0 0 0 0 0 0 0 0 0 0 0 0,2,4,2
Case 3048,4,3 3 4 0 0 0 0 0 0 0 0 0 0 0,3,4,2
Case 3048,4,3 3 4 4 0 0 0 0 0 0 0 0 0 0,4,3,2
Case 3049,5,5 0 0 0 0 0 0 0 0 0 0 0 0 0,1,5,2
Case 3049,5,5 5 0 0 0 0 0 0 0 0 0 0 0 0,2,5,2
Case 3049,5,5 5 5 0 0 0 0 0 0 0 0 0 0 0,3,5,2
Case 3049,5,5 5 5 5 0 0 0 0 0 0 0 0 0 0,4,5,2
Case 3049,5,5 5 5 5 5 0 0 0 0 0 0 0 0 0,5,5,2
Case 3049,5,5 5 5 5 5 5 0 0 0 0 0 0 0 0,6,4,2
Case 3049,4,5 5 5 5 5 5 4 0 0 0 0 0 0 0,7,3,2
Case 305,6,6 0 0 0 0 0 0 0 0 0 0 0 0 0,1,6,2
Case 305,6,6 6 0 0 0 0 0 0 0 0 0 0 0 0,2,6,2
Case 305,6,6 6 6 0 0 0 0 0 0 0 0 0 0 0,3,6,2
Case 305,6,6 6 6 6 0 0 0 0 0 0 0 0 0 0,4,3,2
Case 3050,7,7 0 0 0 0 0 0 0 0 0 0 0 0 0,1,7,2
Case 3050,8,7 8 0 0 0 0 0 0 0 0 0 0 0 0,2,8,2
Case 3050,9,7 8 9 0 0 0 0 0 0 0 0 0 0 0,3,9,2
Case 3050,10,7 8 9 10 0 0 0 0 0 0 0 0 0 0,4,9,2
Case 3050,10,7 8 9 10 10 0 0 0 0 0 0 0 0 0,5,9,2
Case 3050,10,7 8 9 10 10 10 0 0 0 0 0 0 0 0,6,3,2
Case 3051,9,9 0 0 0 0 0 0 0 0 0 0 0 0 0,1,8,2
Case 3051,9,9 9 0 0 0 0 0 0 0 0 0 0 0 0,2,8,2
Case 3051,9,9 9 9 0 0 0 0 0 0 0 0 0 0 0,3,8,2
Case 3051,9,9 9 9 9 0 0 0 0 0 0 0 0 0 0,4,8,2
Case 3051,9,9 9 9 9 9 0 0 0 0 0 0 0 0 0,5,3,2
Case 3052,5,5 0 0 0 0 0 0 0 0 0 0 0 0 0,1,8,2
Case 3052,9,5 9 0 0 0 0 0 0 0 0 0 0 0 0,2,8,2
Case 3052,9,5 9 9 0 0 0 0 0 0 0 0 0 0 0,3,3,2
Case 3053,9,9 0 0 0 0 0 0 0 0 0 0 0 0 0,1,2,2
Case 3053,3,9 3 0 0 0 0 0 0 0 0 0 0 0 0,2,2,2
Case 3053,3,9 3 3 0 0 0 0 0 0 0 0 0 0 0,3,2,2
Case 3053,3,9 3 3 3 0 0 0 0 0 0 0 0 0 0,4,3,2
Case 3054,5,5 0 0 0 0 0 0 0 0 0 0 0 0 0,1,5,2
Case 3054,5,5 5 0 0 0 0 0 0 0 0 0 0 0 0,2,8,2
Case 3054,9,5 5 9 0 0 0 0 0 0 0 0 0 0 0,3,8,2
Case 3054,9,5 5 9 9 0 0 0 0 0 0 0 0 0 0,4,8,2
Case 3054,9,5 5 9 9 9 0 0 0 0 0 0 0 0 0,5,3,2
