case_id,time_timestamp,time_timestamp##Prefix,time_timestamp##Prefix Length,time_timestamp##Next-Feature,time_timestamp##Last-Feature
Case 4539,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,51
Case 4539,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,6,51
Case 4539,6,0 0 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,6,51
Case 4539,6,0 0 6 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,51,51
Case 791,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,29,59
Case 791,29,0 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,29,59
Case 791,29,0 29 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,59,59
Case 4505,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,33
Case 4505,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,0,33
Case 4505,0,0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,33,33
Case 588,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,15,31
Case 588,15,0 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,16,31
Case 588,16,0 15 16 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,31,31
Case 4378,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,58
Case 4378,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,12,58
Case 4378,12,0 0 12 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,12,58
Case 4378,12,0 0 12 12 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,13,58
Case 4378,13,0 0 12 12 13 -1 -1 -1 -1 -1 -1 -1 -1 -1,5,13,58
Case 4378,13,0 0 12 12 13 13 -1 -1 -1 -1 -1 -1 -1 -1,6,58,58
Case 765,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,6,34
Case 765,6,0 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,19,34
Case 765,19,0 6 19 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,34,34
Case 81,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,58
Case 81,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,0,58
Case 81,0,0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,0,58
Case 81,0,0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,9,58
