case_id,time_timestamp,time_timestamp##Prefix,time_timestamp##Prefix Length,time_timestamp##Next-Feature,time_timestamp##Last-Feature,day_of_week,day_of_week##Prefix,day_of_week##Prefix Length,day_of_week##Next-Feature,day_of_week##Last-Feature,hour_of_day,hour_of_day##Prefix,hour_of_day##Prefix Length,hour_of_day##Next-Feature,hour_of_day##Last-Feature
Case 3046,21,21 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,36,36,4,4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,5,5,8,8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,8,8
Case 3047,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,31,2,2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,2,5,8,8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,8,8
Case 3047,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,0,31,2,2 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,2,5,8,8 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,14,8
Case 3047,0,0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,31,31,2,2 2 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,5,5,14,8 8 14 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,8,8
Case 3048,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,3,31,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,3,3,7,7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,9,7
Case 3048,3,0 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,3,31,3,0 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,3,3,9,7 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,10,7
Case 3048,3,0 3 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,3,31,3,0 3 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,3,3,10,7 9 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,3,10,7
Case 3048,3,0 3 3 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,31,31,3,0 3 3 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,3,3,10,7 9 10 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,4,7,7
Case 3049,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,36,0,0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,0,1,14,14 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,1,14,14
Case 3049,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,0,36,0,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,0,1,14,14 14 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,2,14,14
