k,weight,accuracy,fscore,precision,recall
1,0.27474505098980206,0.8537117903930131,0.8093548136598158,0.830354998955785,0.8537117903930131
2,0.27444511097780444,0.692896174863388,0.5892480200717174,0.5160391553541437,0.692896174863388
3,0.26244751049790044,0.84,0.8048056346055168,0.7994568551518375,0.84
4,0.11187762447510498,0.8364611260053619,0.7967114187394903,0.7669524369338279,0.8364611260053619
5,0.04619076184763048,0.8636363636363636,0.8275835275835277,0.8226849470661353,0.8636363636363636
6,0.017996400719856028,0.8333333333333334,0.7856885456885457,0.8128654970760233,0.8333333333333334
7,0.007198560287942412,0.7916666666666666,0.7091049382716049,0.6529761904761905,0.7916666666666666
8,0.0032993401319736052,0.6363636363636364,0.606060606060606,0.7272727272727273,0.6363636363636364
9,0.0011997600479904018,0.75,0.75,0.75,0.75
10,0.00029994001199760045,1.0,1.0,1.0,1.0
11,0.00029994001199760045,1.0,1.0,1.0,1.0
Weighted Mean,,0.8029394121175765,0.7454059982969499,0.7266094342144244,0.8029394121175765
