k,weight,accuracy,fscore,precision,recall
1,0.2620886981402003,0.8504366812227074,0.8007761827844374,0.7752319652343029,0.8504366812227074
2,0.2620886981402003,0.43122270742358076,0.285844453041773,0.21579139556193974,0.43122270742358076
3,0.2509298998569385,0.6339794754846066,0.6405251782440179,0.6768865586114472,0.6339794754846066
4,0.15278969957081545,0.7865168539325843,0.7715019846909958,0.7661296538716943,0.7865168539325843
5,0.045779685264663805,0.68125,0.6568842266258811,0.662551510989011,0.68125
6,0.017167381974248927,0.7,0.6494468494468495,0.6586050724637681,0.7
7,0.006008583690987125,0.7142857142857143,0.6122448979591836,0.5357142857142857,0.7142857142857143
8,0.0017167381974248926,0.6666666666666666,0.5925925925925926,0.5333333333333333,0.6666666666666666
9,0.0002861230329041488,0.0,0.0,0.0,0.0
10,0.0002861230329041488,0.0,0.0,0.0,0.0
11,0.0002861230329041488,0.0,0.0,0.0,0.0
12,0.0002861230329041488,0.0,0.0,0.0,0.0
13,0.0002861230329041488,1.0,1.0,1.0,1.0
Weighted Mean,,0.6640915593705293,0.6095988924753806,0.5927023438240774,0.6640915593705293
