k,weight,mae,mse,rmse,r2
1,0.27474505098980206,5.152012825012207,50.21546173095703,7.086287021636963,-0.06074057243679842
2,0.27444511097780444,4.422876834869385,75.22134399414062,8.67302417755127,0.18251568096333826
3,0.26244751049790044,7.36724853515625,118.62312316894531,10.891424179077148,0.5812463598070223
4,0.11187762447510498,4.637241840362549,61.47938537597656,7.840878963470459,0.6995566028426258
5,0.04619076184763048,5.190337657928467,57.46326446533203,7.580452919006348,0.6829140156963482
6,0.017996400719856028,4.708740234375,66.49082946777344,8.154191017150879,0.6186869068793939
7,0.007198560287942412,3.785053253173828,41.464542388916016,6.439296722412109,0.6470268087895104
8,0.0032993401319736052,4.493947505950928,63.17874526977539,7.948505878448486,0.6187598156990554
9,0.0011997600479904018,16.150392532348633,317.94677734375,17.83106231689453,-6.8143600721696185
10,0.00029994001199760045,0.6288378834724426,0.395437091588974,0.6288378834724426,
11,0.00029994001199760045,6.806139945983887,46.32353973388672,6.806139945983887,
Weighted Mean,,5.4698132538445075,77.20436413182101,8.655931964007122,
