case_id,concept_name,Prefix,Prefix Length,Next-Feature,Last-Feature
Case 1,4,4 0 0 0 0 0 0 0 0 0 0 0 0 0,1,3,1
Case 1,2,4 2 0 0 0 0 0 0 0 0 0 0 0 0,2,3,1
Case 1,2,4 2 2 0 0 0 0 0 0 0 0 0 0 0,3,1,1
Case 1,3,4 2 2 3 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 3191,4,4 0 0 0 0 0 0 0 0 0 0 0 0 0,1,5,1
Case 3191,4,4 4 0 0 0 0 0 0 0 0 0 0 0 0,2,3,1
Case 3191,2,4 4 2 0 0 0 0 0 0 0 0 0 0 0,3,4,1
Case 3191,5,4 4 2 5 0 0 0 0 0 0 0 0 0 0,4,4,1
Case 3191,5,4 4 2 5 5 0 0 0 0 0 0 0 0 0,5,1,1
Case 3191,3,4 4 2 5 5 3 0 0 0 0 0 0 0 0,6,2,1
Case 3192,4,4 0 0 0 0 0 0 0 0 0 0 0 0 0,1,3,1
Case 3192,2,4 2 0 0 0 0 0 0 0 0 0 0 0 0,2,6,1
Case 3192,6,4 2 6 0 0 0 0 0 0 0 0 0 0 0,3,1,1
Case 3192,3,4 2 6 3 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 3193,4,4 0 0 0 0 0 0 0 0 0 0 0 0 0,1,3,1
Case 3193,2,4 2 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 3193,3,4 2 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 3194,4,4 0 0 0 0 0 0 0 0 0 0 0 0 0,1,5,1
Case 3194,4,4 4 0 0 0 0 0 0 0 0 0 0 0 0,2,3,1
Case 3194,2,4 4 2 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 3194,2,4 4 2 2 0 0 0 0 0 0 0 0 0 0,4,1,1
Case 3194,3,4 4 2 2 3 0 0 0 0 0 0 0 0 0,5,2,1
Case 3195,4,4 0 0 0 0 0 0 0 0 0 0 0 0 0,1,3,1
Case 3195,2,4 2 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 3195,3,4 2 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 3196,8,8 0 0 0 0 0 0 0 0 0 0 0 0 0,1,5,1
