case_id,concept_name,Prefix,Prefix Length,Next-Feature,Last-Feature
Case 203,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,3,1
Case 203,4,2 4 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 203,3,2 4 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 2638,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,3,1
Case 2638,4,2 4 0 0 0 0 0 0 0 0 0 0 0 0,2,6,1
Case 2638,7,2 4 7 0 0 0 0 0 0 0 0 0 0 0,3,1,1
Case 2638,3,2 4 7 3 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 2639,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,3,1
Case 2639,4,2 4 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 2639,3,2 4 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 264,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,3,1
Case 264,4,2 4 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 264,3,2 4 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 2640,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,3,1
Case 2640,4,2 4 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 2640,3,2 4 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 2641,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,3,1
Case 2641,4,2 4 0 0 0 0 0 0 0 0 0 0 0 0,2,4,1
Case 2641,5,2 4 5 0 0 0 0 0 0 0 0 0 0 0,3,1,1
Case 2641,3,2 4 5 3 0 0 0 0 0 0 0 0 0 0,4,2,1
Case 2648,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,3,1
Case 2648,4,2 4 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 2648,3,2 4 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 2656,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,3,1
Case 2656,4,2 4 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 2656,3,2 4 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 2657,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,3,1
Case 2657,4,2 4 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 2657,3,2 4 3 0 0 0 0 0 0 0 0 0 0 0,3,2,1
Case 2658,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,3,1
Case 2658,4,2 4 0 0 0 0 0 0 0 0 0 0 0 0,2,1,1
Case 2658,3,2 4 3 0 0 0 0 0 0 0 0 0 0 0,3,3,1
Case 2658,4,2 4 3 4 0 0 0 0 0 0 0 0 0 0,4,1,1
Case 2658,3,2 4 3 4 3 0 0 0 0 0 0 0 0 0,5,2,1
Case 2659,2,2 0 0 0 0 0 0 0 0 0 0 0 0 0,1,3,1
Case 2659,4,2 4 0 0 0 0 0 0 0 0 0 0 0 0,2,4,1
Case 2659,5,2 4 5 0 0 0 0 0 0 0 0 0 0 0,3,4,1
Case 2659,5,2 4 5 5 0 0 0 0 0 0 0 0 0 0,4,3,1
Case 2659,4,2 4 5 5 4 0 0 0 0 0 0 0 0 0,5,1,1
